ProductId,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,new_ver
63,Round,1.5*1.5,8,Round,0.9*0.9,72,,,,,,,,,,,,,,,,,,,,,,,,, -   
64,Round,0.9*0.9,48,Round,1.0*1.0,36,Round,0.8*0.8,24,,,,,,,,,,,,,,,,,,,,,, -   
65,Round,2.0*2.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
66,Round,2.5*2.5,10,Round,3.5*3.5,2,,,,,,,,,,,,,,,,,,,,,,,,, -   
67,Round,1.2*1.2,10,Round,1.3*1.3,10,Round,1.5*1.5,10,,,,,,,,,,,,,,,,,,,,,, -   
68,Round,1.2*1.2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
69,Round,0.9*0.9,96,Round,1.4*1.4,16,,,,,,,,,,,,,,,,,,,,,,,,, -   
70,Princess Ngàm,1.8*1.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
71,Round,1.5*1.5,8,Round,1.0*1.0,16,Round,1.7*1.7,8,,,,,,,,,,,,,,,,,,,,,, -   
72,Round,1.6*1.6,26,Round,1.3*1.3,26,,,,,,,,,,,,,,,,,,,,,,,,, -   
73,Round,1.6*1.6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
74,Round,1.7*1.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
75,Round,1.3*1.3,16,Round,0.9*0.9,32,,,,,,,,,,,,,,,,,,,,,,,,, -   
76,Round,0.9*0.9,38,Round,1.5*1.5,32,,,,,,,,,,,,,,,,,,,,,,,,, -   
77,Round,1.2*1.2,12,Round,1.5*1.5,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
78,Baguette,2.0*1.0,8,Round,0.9*0.9,32,Round,1.1*1.1,16,Round,1.2*1.2,8,,,,,,,,,,,,,,,,,,, -   
79,Round,1.1*1.1,32,Marquise,3.0*1.5,8,Round,1.7*1.7,16,,,,,,,,,,,,,,,,,,,,,, -   
80,Round,1.3*1.3,16,Round,0.9*0.9,32,,,,,,,,,,,,,,,,,,,,,,,,, -   
81,Round,1.0*1.0,32,Round,1.1*1.1,8,,,,,,,,,,,,,,,,,,,,,,,,, -   
82,Round,1.3*1.3,12,Round,1.9*1.9,12,,,,,,,,,,,,,,,,,,,,,,,,, -   
83,Round,1.5*1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
84,Round,2.0*2.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
85,Round,1.5*1.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
86,Round,1.5*1.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
87,Round,1.0*1.0,2,Round,1.2*1.2,4,Round,1.5*1.5,8,Round,1.6*1.6,12,,,,,,,,,,,,,,,,,,, -   
88,Round,2.2*2.2,14,Round,1.3*1.3,44,,,,,,,,,,,,,,,,,,,,,,,,, -   
89,Round,1.3*1.3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
90,Round,1.0*1.0,16,Round,1.1*1.1,32,Round,0.9*0.9,6,Round,0.8*0.8,2,Round,1.2*1.2,2,Round,1.4*1.4,2,,,,,,,,,,,,, -   
91,Round,0.9*0.9,4,Round,1.2*1.2,12,Round,1.3*1.3,6,Round,1.0*1.0,20,,,,,,,,,,,,,,,,,,, -   
92,Round,0.8*0.8,8,Round,0.9*0.9,8,Round,1.1*1.1,8,Round,1.0*1.0,8,,,,,,,,,,,,,,,,,,, -   
93,Round,1.2*1.2,24,Round,2.7*2.7,2,Round,1.5*1.5,8,Round,2.0*2.0,8,Round,1.1*1.1,16,Round,1.0*1.0,72,Round,0.9*0.9,32,,,,,,,,,, -   
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
95,Round,0.8*0.8,28,Round,1.0*1.0,2,Round,0.9*0.9,16,,,,,,,,,,,,,,,,,,,,,, -   
96,Round,1.3*1.3,26,Round,2.0*2.0,2,,,,,,,,,,,,,,,,,,,,,,,,, -   
97,Round,1.0*1.0,54,Round,1.5*1.5,2,,,,,,,,,,,,,,,,,,,,,,,,, -   
98,Round,1.0*1.0,4,Round,0.8*0.8,4,Round,0.9*0.9,4,Round,1.2*1.2,2,Round,1.1*1.1,2,Round,1.5*1.5,28,,,,,,,,,,,,, -   
99,Round,1.0*1.0,40,Round,1.1*1.1,4,Round,0.9*0.9,4,Round,0.8*0.8,4,,,,,,,,,,,,,,,,,,, -   
100,Round,2.5*2.5,2,Round,1.2*1.2,12,Round,1.3*1.3,16,Round,1.4*1.4,10,Round,1.1*1.1,2,,,,,,,,,,,,,,,, -   
101,Round,1.0*1.0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
102,Round,1.0*1.0,52,Round,1.5*1.5,32,Round,1.2*1.2,16,,,,,,,,,,,,,,,,,,,,,, -   
103,Round,3.3*3.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
104,Round,1.6*1.6,2,Round,1.3*1.3,16,Round,1.2*1.2,12,Round,1.4*1.4,2,Round,3*3,2,,,,,,,,,,,,,,,, -   
105,Round,1.0*1.0,6,Round,1.1*1.1,4,Round,1.2*1.2,4,Round,1.3*1.3,4,Round,1.8*1.8,2,,,,,,,,,,,,,,,, -   
106,Round,0.9*0.9,18,Round,1.3*1.3,4,Round,1.4*1.4,2,Round,2.0*2.0,2,Round,0.8*0.8,10,Round,1.0*1.0,72,Round,1.1*1.1,12,,,,,,,,,, -   
107,Round,1.0*1.0,24,Round,0.9*0.9,64,Round,1.1*1.1,8,Round,3.5*3.5,2,Round,2.2*2.2,16,Round,2.0*2.0,2,,,,,,,,,,,,, -   
108,Round,2.4*2.4,6,Round,1.1*1.1,32,Round,1.4*1.4,4,,,,,,,,,,,,,,,,,,,,,, -   
109,Round,1.7*1.7,8,Round,2.5*2.5,16,,,,,,,,,,,,,,,,,,,,,,,,, -   
110,Round,1.4*1.4,10,Round,1.7*1.7,10,Round,1.2*1.2,10,,,,,,,,,,,,,,,,,,,,,, -   
