ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,diamond_gold_10k,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
770," 34,920,000 "," 28,960,000 ", -   , -   ," 26,270,000 "," 20,310,000 ", -   , -   
771," 13,800,000 "," 9,950,000 "," 16,940,000 ", -   ," 13,800,000 "," 9,950,000 "," 16,940,000 ", -   
772," 27,890,000 "," 22,640,000 ", -   , -   ," 25,700,000 "," 20,440,000 ", -   , -   
773," 16,030,000 "," 11,910,000 ", -   , -   ," 15,080,000 "," 10,960,000 ", -   , -   
774," 43,310,000 "," 37,690,000 "," 47,430,000 ", -   ," 27,240,000 "," 21,620,000 "," 31,250,000 ", -   
775," 30,970,000 "," 27,130,000 "," 34,880,000 ", -   ," 19,500,000 "," 15,660,000 "," 23,230,000 ", -   
776," 19,060,000 "," 15,270,000 "," 24,960,000 ", -   ," 18,390,000 "," 14,600,000 "," 23,670,000 ", -   
777," 22,880,000 "," 19,850,000 "," 27,520,000 ", -   ," 15,960,000 "," 12,930,000 "," 20,420,000 ", -   
778," 15,930,000 "," 13,580,000 "," 20,150,000 ", -   ," 13,770,000 "," 11,430,000 "," 17,810,000 ", -   
779," 29,320,000 "," 24,960,000 "," 34,310,000 ", -   ," 19,740,000 "," 15,810,000 "," 24,490,000 ", -   
780," 36,540,000 "," 32,600,000 "," 40,140,000 ", -   ," 19,840,000 "," 15,900,000 "," 23,320,000 ", -   
781," 24,950,000 "," 21,240,000 "," 29,190,000 ", -   ," 19,170,000 "," 15,460,000 "," 23,230,000 ", -   
782," 28,550,000 "," 25,400,000 "," 33,340,000 ", -   ," 14,770,000 "," 11,620,000 "," 19,370,000 ", -   
783," 34,480,000 "," 30,150,000 "," 37,790,000 ", -   ," 22,580,000 "," 18,260,000 "," 25,780,000 ", -   
784," 36,680,000 "," 31,370,000 "," 40,510,000 ", -   ," 26,100,000 "," 20,790,000 "," 29,820,000 ", -   
