id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
77,BTA2159,,BTA,,,Round,5.4,4.25,3.96,,Pattern,0.22,
78,BTA2161,,BTA,,,Round,,3.2,2.98,,Plain,0.4,
79,BTA3101,,BTA,,,,,2.28,2.1,,Plain,0.3,
80,BTA3102,,BTA,,,,,2.89,2.65,,Plain,1.13,
81,BTA3104,,BTA,,,,,4.9,4.1,,Plain,0.23,
82,BTA3105,,BTA,,,,,2.73,2.51,,Plain,1.13,
83,BTA3106,,BTA,,,,,7.51,7,,Plain,0.32,
84,BTA3107,,BTA,,,,,2.52,2.35,,Plain,0.92,
85,BTA3108,,BTA,,,,,4.42,4.12,,Pattern,0.12,
86,BTA3109,,BTA,,,,,3.27,3.04,,Plain,0.27,
87,BTA3110,,BTA,,,Round,3.6,4.34,4.05,,Plain,0.21,
88,BTA3111,,BTA,,,Round,3.6,2.7,2.26,,Plain,0.06,
89,BTA3122,,BTA,,,Round,4.5,7.15,6.67,,Plain,1.08,
90,BTA4101,,BTA,,,Round,4.5,2.73,2.51,,Plain,,
91,BTA4102,,BTA,,,Round,4.5,2.16,1.81,,Plain,0.1,
92,BTA4103,,BTA,,,Round,4.5,3.19,2.66,,Pattern,0.27,
93,BTA4104,,BTA,,,Round,5.4,3.52,3.23,,Plain,0.225,
94,BTA4105,,BTA,,,Round,4.1,3.16,2.9,,Plain,0.41,
95,BTA4106,,BTA,,,Round,4.5,2.98,2.74,,Plain,0.19,
96,BTA4107,,BTA,,,Pear,8.0*5.0,3.43,2.87,,Plain,0.38,
97,BTA4111,,BTA,,,,,4.48,3.75,,Plain,0.18,
98,BTA4112,,BTA,,,,,3.32,3.06,,Plain,0.7,
99,BTA4114,,BTA,,,Round,6.3,2.98,2.78,,Plain,0.26,
100,BTA4115,,BTA,,,Round,3.6,4.53,4.22,,Plain,0.46,
101,BTA4116,,BTA,,,Round,4.5,1.86,1.73,,Plain,0.15,
102,BTA4117,,BTA,,,Pear,6.6,6.06,5.06,,Plain,0.51,
103,BTA4119,,BTA,,,Pear,4.5,5.66,5.28,,Plain,1.32,
104,BTA4121,,BTA,,,Round,4.1,4.11,3.44,,Plain,0.5,
105,BTA4122,,BTA,,,,,4.34,4.05,,Plain,1.09,
106,BTA4123,,BTA,,,N/A,5,2.88,2.4,,Pattern,0.35,
107,BTA4124,,BTA,,,Round,3.6,5.27,4.91,,Pattern,0.4,
108,BTA4125,,BTA,,,,,3.67,3.43,,Plain,1.65,
