ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height
126.0,BTA7008,,Bông tai,,,,,
127.0,BTA7009,,Bông tai,,,,,
128.0,BTA7010,,Bông tai,,,,,
129.0,BTA7011,,Bông tai,,,,,
130.0,BTA8101,,Bông tai,,,,,
131.0,BTA8102,,Bông tai,,,,,
132.0,BTA8103,,Bông tai,,,,,
133.0,BTA8104,,Bông tai,,,,,
134.0,BTA8105,,Bông tai,,,,,
135.0,BTA8106,,Bông tai,,,,,
136.0,BTA8107,,Bông tai,,,,,
