ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
84.0,,   , 2.89 , 2.65 ,   , Plain , Trắng 
85.0,,   , 4.90 , 4.10 ,   , Plain , Trắng 
86.0,,   , 2.73 , 2.51 ,   , Plain , Trắng 
87.0,,   , 7.51 , 7.00 ,   , Plain , Trắng 
88.0,,   , 2.52 , 2.35 ,   , Plain , Trắng 
89.0,,   , 4.42 , 4.12 ,   , Pattern , Trắng 
90.0,,   , 3.27 , 3.04 ,   , Plain , Trắng 
91.0,Round, 3.6 , 4.34 , 4.05 ,   , Plain , Trắng 
92.0,Round, 3.6 , 2.70 , 2.26 ,   , Plain , Trắng 
93.0,Round, 4.5 , 7.15 , 6.67 ,   , Plain , Trắng 
94.0,Round, 4.5 , 2.73 , 2.51 ,   , Plain , Trắng 
95.0,Round, 4.5 , 2.16 , 1.81 ,   , Plain , Trắng 
96.0,Round, 4.5 , 3.19 , 2.66 ,   , Pattern , Trắng 
97.0,Round, 5.4 , 3.52 , 3.23 ,   , Plain , Trắng 
98.0,Round, 4.1 , 3.16 , 2.90 ,   , Plain , Trắng 
99.0,Round, 4.5 , 2.98 , 2.74 ,   , Plain , Trắng 
100.0,Pear, 8.0*5.0 , 3.43 , 2.87 ,   , Plain , Trắng 
101.0,,   , 4.48 , 3.75 ,   , Plain , Trắng 
102.0,,   , 3.32 , 3.06 ,   , Plain , Trắng 
103.0,Round, 6.3 , 2.98 , 2.78 ,   , Plain , Trắng 
104.0,Round, 3.6 , 4.53 , 4.22 ,   , Plain , Trắng 
105.0,Round, 4.5 , 1.86 , 1.73 ,   , Plain , Trắng 
106.0,Pear, 6.6 , 6.06 , 5.06 ,   , Plain , Trắng 
107.0,Pear, 4.5 , 5.66 , 5.28 ,   , Plain , Trắng 
108.0,Round, 4.1 , 4.11 , 3.44 ,   , Plain , Trắng 
109.0,,   , 4.34 , 4.05 ,   , Plain , Hồng 
110.0,, 5.0 , 2.88 , 2.40 ,   , Pattern , Vàng 
111.0,Round, 3.6 , 5.27 , 4.91 ,   , Pattern , Trắng 
112.0,Marquise, 6.0*3.0 , 3.67 , 3.43 ,   , Plain , Trắng 
113.0,Round, 5.0 , 4.02 , 3.75 ,   , Plain ,
114.0,Round, 4.1 , 3.53 , 3.29 ,   , Plain , Trắng 
115.0,Oval, 8.0*6.0 , 4.56 , 4.26 ,   , Pattern , Trắng 
116.0,Emerald, 4.5*3.5 , 4.15 , 3.81 ,   , Pattern , Trắng 
117.0,,   , 2.83 , 2.64 ,   , Pattern , Trắng 
118.0,,   , 4.42 , 4.13 ,   , Pattern , Trắng 
119.0,Princess, 4.5 , 10.62 , 9.91 ,   , Plain , Vàng 
120.0,,   , 7.45 , 6.95 ,   , Plain , Trắng 
121.0,,   , 5.72 , 5.34 ,   , Plain , Trắng 
122.0,,   , 3.09 , 2.88 ,   , Plain , Vàng 
123.0,Round, 3.6 , 3.14 , 2.93 ,   , Plain , Trắng 
124.0,Round, 3.6 , 2.24 , 2.09 ,   , Plain , Trắng 
125.0,Princess, 4.5 , 4.38 , 4.08 ,   , Plain , Vàng 
126.0,,   , 4.71 , 4.39 ,   , Pattern , Hồng 
127.0,,   , 3.98 , 3.71 ,   , Plain , Trắng 
128.0,,   , 4.60 , 4.29 ,   , Plain , Hồng 
129.0,,   , 4.55 , 4.25 ,   , Plain , Trắng 
130.0,,   , 2.47 , 2.30 ,   , Plain , Trắng 
131.0,,   , 3.55 , 3.31 ,   , Plain , Trắng 
132.0,,   , 4.39 , 3.67 ,   , Pattern , Hồng 
133.0,,   , 2.32 , 2.16 ,   , Plain , Trắng 
134.0,,   , 5.35 , 4.99 ,   , Plain , Trắng 
135.0,,   , 3.85 , 3.21 ,   , Plain , Trắng 
136.0,,   , 3.54 , 3.30 ,   , Plain , Hồng 
137.0,Round, 5.4 , 4.19 , 3.91 ,   , Plain , Trắng 
138.0,Round, 4.7 , 2.87 , 2.68 ,   , Plain , Trắng 
139.0,Round, 4.1 , 3.60 , 3.01 ,   , Plain , Trắng 
140.0,Heart, 5.4 , 2.00 , 1.86 ,   , Plain , Trắng 
141.0,Round, 4.5 , 7.68 , 7.16 ,   , Pattern , Trắng 
142.0,,   , 3.07 , 2.86 ,   , Plain , Trắng 
143.0,Round, 4.5 , 3.57 , 3.33 ,   , Plain , Trắng 
144.0,Princess, 3.6 , 4.65 , 4.34 ,   , Plain , Trắng 
145.0,Radiant, 6.0 , 4.53 , 4.22 ,   , Plain , Trắng 
146.0,,   , 3.82 , 3.57 ,   , Pattern , Trắng 
147.0,Round, 3.6 , 3.37 , 3.14 ,   , Pattern , Trắng 
148.0,,   , 7.34 , 6.84 ,   , Pattern , Trắng 
149.0,,   , 3.98 , 3.72 ,   , Plain , Trắng 
150.0,,   , 9.75 , 9.09 ,   , Plain , Trắng 
151.0,,   , 5.77 , 5.38 ,   , Plain , Hồng 
152.0,Round, 6.0 , 4.88 , 4.08 ,   , Plain , Hồng 
153.0,,   , 11.07 , 10.33 ,   , Plain , Trắng 
154.0,Princess, 4.1 , 4.34 , 4.04 ,   , Plain , Trắng 
155.0,Round, 5.4 , 4.30 , 4.01 ,   , Pattern , Trắng 
156.0,Round, 5.4 , 5.46 , 5.10 ,   , Pattern , Trắng 
157.0,Round, 5.4 , 7.03 , 6.55 ,   , Plain , Trắng 
158.0,Round, 3.6 , 4.80 , 4.74 ,   , Pattern , Trắng 
159.0,Round, 4.1 , 4.19 , 3.91 ,   , Plain , Trắng 
160.0,Oval, 7.0*5.0 , 4.04 , 3.77 ,   , Plain , Trắng 
161.0,Round, 4.1 , 5.17 , 4.82 ,   , Plain , Trắng 
162.0,Round, 3.6 , 3.06 , 2.86 ,   , Plain , Trắng 
163.0,Pear, 6.0*4.0 , 3.06 , 2.86 ,   , Plain , Trắng 
164.0,Emerald, 6.0*4.0 , 5.24 , 4.89 ,   , Plain , Trắng 
165.0,Emerald, 6.5*4.5 , 4.69 , 3.92 ,   , Plain , Trắng 
166.0,Cushion, 5.5 , 4.99 , 4.17 ,   , Plain , Trắng 
167.0,Pear, 6.0*4.0 , 3.33 , 2.78 ,   , Pattern , Trắng 
168.0,Heart, 3.5 , 1.13 , 1.05 ,   , Plain , Trắng 
169.0,Round,   , 3.40 , 3.17 ,   , Plain , Trắng 
170.0,Round,   , 6.50 , 6.06 ,   , Plain , Trắng 
171.0, ,   , 2.63 , 2.45 ,   , Plain , Trắng-Hồng 
172.0, ,   , 0.71 , 0.65 ,   , Plain , Trắng 
173.0, ,   , 1.66 , 1.55 ,   , Plain , Trắng 
