ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
1064,29,23,29,21,15,22,-
1065,61,51,57,41,31,37,-
1066,101,89,97,50,38,46,-
1067,69,61,-,40,31,-,-
1068,69,63,70,33,27,34,-
1069,29,25,30,21,17,22,-
1070,59,51,57,41,33,39,-
1071,15,12,16,15,12,16,-
1072,81,71,78,44,34,41,-
1073,64,58,65,31,25,32,-
1074,85,76,83,41,32,39,-
1075,46,40,45,29,23,28,-
1076,44,40,-,18,14,-,-
1077,51,45,52,25,19,26,-
1078,23,20,24,17,14,18,-
1079,28,24,29,20,16,21,-
1080,56,50,-,28,23,-,-
1081,36,31,-,25,19,-,-
1082,36,31,37,25,19,25,-
1083,42,35,-,34,27,-,-
1084,31,26,31,21,16,22,-
1085,73,68,73,28,23,29,-
1086,63,54,61,37,28,35,-
1087,113,101,-,56,44,-,-
1088,83,72,81,45,35,44,-
1089,42,35,43,26,20,27,-
1090,65,57,63,38,29,36,-
1091,36,30,-,26,21,-,-
1092,98,86,94,50,39,47,-
1093,36,29,34,27,21,26,-
1094,50,43,49,31,24,29,-
1095,49,43,50,29,23,30,-
1096,89,81,87,39,30,37,-
1097,85,74,81,50,39,47,-
1098,34,29,35,22,17,22,-
1099,53,47,52,30,23,29,-
1100,56,47,54,31,22,30,-
1101,55,49,54,31,24,30,-
1102,45,40,46,24,19,25,-
1103,77,68,75,42,32,39,-
1104,59,50,-,40,31,-,-
1105,52,45,51,31,24,30,-
1106,30,26,31,20,15,20,-
1107,40,34,41,26,20,27,-
1108,44,37,43,30,22,28,-
1109,63,54,61,39,30,37,-
1110,43,38,-,25,20,-,-
1111,72,64,70,37,29,35,-
1112,52,47,-,28,22,-,-
1113,74,65,72,39,30,37,-
1114,54,47,53,31,24,30,-
1115,95,90,96,23,18,24,-
1116,38,33,39,22,17,23,-
1117,74,65,71,37,29,35,-
1118,16,13,17,14,10,14,-
1119,23,18,24,19,14,19,-
1120,38,33,-,20,15,-,-
1121,35,30,36,20,15,21,-
1122,34,29,35,22,16,22,-
1123,113,105,-,45,37,-,-
1124,80,72,-,44,36,-,-
1125,55,47,-,35,27,-,-
1126,63,56,-,36,28,-,-
1127,88,78,-,42,33,-,-
1128,82,74,-,46,37,-,-
1129,60,52,-,37,28,-,-
1130,127,117,-,47,36,-,-
1131,103,95,-,45,37,-,-
1132,72,63,-,38,29,-,-
1133,105,95,102,48,38,45,-
1134,95,84,-,50,39,-,-
1135,33,28,34,22,17,23,-
1136,65,57,63,33,25,32,-
1137,48,42,47,30,23,28,-
1138,44,40,45,18,14,19,-
1139,90,84,89,28,22,27,-
1140,44,35,43,29,19,28,-
1141,42,37,43,24,19,25,-
1142,116,106,-,53,42,-,-
1143,69,64,69,29,24,30,-
1144,103,94,102,34,25,33,-
1145,32,27,33,21,17,22,-
1146,45,38,43,30,23,29,-
1147,34,30,-,23,18,-,-
1148,36,31,-,23,19,-,-
1149,62,55,61,32,25,31,-
1150,47,40,-,33,26,-,-
1151,75,66,-,42,33,-,-
1152,45,38,44,32,25,30,-
1153,35,28,-,29,23,-,-
1154,42,37,-,22,18,-,-
1155,17,13,-,17,13,-,-
1156,19,13,19,17,12,18,-
1157,17,14,18,15,12,16,-
1158,16,11,16,16,11,16,-
1159,24,17,23,24,17,23,-
1160,12,8,13,11,7,12,-
1161,15,11,15,15,11,15,-
1162,24,16,24,22,15,23,-
1163,24,18,23,21,15,20,-
1164,29,21,29,24,16,23,-
1165,24,17,25,22,15,23,-
1166,21,14,22,21,14,22,-
1167,15,11,15,15,11,15,-
1168,15,12,16,15,12,16,-
1169,27,19,-,26,18,-,-
1170,33,25,32,23,15,22,-
1171,27,22,26,17,12,16,-
1172,45,36,44,28,19,27,-
1173,25,17,24,25,17,24,-
1174,30,22,29,27,18,26,-
1175,21,14,21,21,14,21,-
1176,31,21,30,30,20,28,-
1177,27,19,26,25,16,24,-
1178,26,19,27,24,16,25,-
1179,39,29,37,34,24,32,-
1180,22,15,23,22,15,23,-
1181,21,14,22,20,14,21,-
1182,24,17,25,21,14,22,-
1183,28,19,27,28,19,27,-
1184,31,21,29,30,20,29,-
1185,13,10,14,12,9,13,-
1186,20,14,21,19,13,20,-
1187,16,10,16,16,10,16,-
1188,23,16,24,23,15,23,-
1189,26,17,25,26,17,25,-
1190,20,15,20,20,15,20,-
1191,15,10,15,15,10,15,-
1192,21,14,22,21,14,22,-
1193,24,16,25,23,15,24,-
1194,27,18,26,27,18,26,-
1195,30,22,29,27,18,26,-
1196,22,15,23,20,13,21,-
1197,22,15,23,22,15,23,-
1198,25,17,24,24,16,23,-
1199,26,18,-,25,17,-,-
1200,22,14,22,22,14,22,-
1201,21,14,22,21,14,22,-
1202,22,16,-,20,14,-,-
1203,18,13,17,18,13,17,-
1204,22,15,23,22,15,23,-
1205,27,22,21,18,13,11,-
1206,21,15,21,21,15,21,-
1207,28,19,28,27,18,26,-
1208,45,37,44,32,23,30,-
1209,27,20,26,27,20,26,-
1210,31,21,-,30,20,-,-
1211,27,19,27,23,15,24,-
1212,36,28,35,30,22,29,-
1213,19,13,20,19,13,20,-
1214,27,19,27,25,17,25,-
1215,98,86,94,56,44,52,-
1216,101,75,98,101,75,98,-
1217,64,48,63,64,47,62,-
1218,67,52,63,57,43,54,-
1219,76,58,74,71,53,69,-
1220,91,71,89,78,58,76,-
1221,46,34,42,45,33,42,-
1222,97,80,96,69,51,68,-
1223,50,38,46,49,37,45,-
1224,61,49,60,57,44,56,-
1225,56,44,55,56,44,55,-
1226,44,36,42,43,35,42,-
1227,43,33,39,43,33,39,-
1228,37,30,35,36,29,34,-
1229,53,40,48,53,40,48,-
1230,133,120,129,61,47,56,-
1231,95,80,91,64,49,60,-
1232,72,60,69,57,45,54,-
1233,98,85,97,64,51,63,-
1234,78,66,75,57,45,54,-
1235,86,75,84,62,51,61,-
1236,74,61,69,59,46,55,-
1237,77,64,73,57,44,52,-
1238,92,78,89,59,45,56,-
1239,85,72,80,55,42,50,-
1240,59,49,57,44,34,42,-
1241,79,67,76,60,48,57,-
1242,54,46,53,43,35,42,-
1243,41,31,39,41,31,39,-
1244,69,58,66,53,42,50,-
1245,160,142,158,77,59,75,-
1246,100,85,97,63,49,60,-
1247,78,65,73,56,43,51,-
1248,76,60,74,64,48,63,-
1249,67,57,65,48,38,46,-
1250,43,32,39,43,32,39,-
1251,58,46,54,50,37,45,-
1252,64,52,59,51,39,47,-
1253,61,50,58,53,41,50,-
1254,62,50,59,58,46,55,-
1255,68,56,64,52,40,48,-
1256,50,39,47,46,36,44,-
1257,56,44,53,52,41,49,-
1258,88,78,85,49,39,47,-
1259,75,60,71,63,48,59,-
1260,49,38,46,45,34,42,-
1261,55,42,50,53,40,48,-
1262,92,78,89,61,46,57,-
1263,123,105,121,75,57,73,-
1264,145,117,142,110,82,107,-
1265,58,48,56,48,37,45,-
1266,90,74,89,69,52,67,-
1267,54,44,52,48,37,45,-
1268,63,52,59,49,37,45,-
1269,92,79,91,68,55,66,-
1270,90,80,88,52,41,50,-
1271,94,82,91,59,47,56,-
1272,52,41,50,44,34,42,-
1273,80,60,-,80,60,-,-
1274,90,76,88,59,45,57,-
1275,96,73,95,79,56,77,-
1276,73,55,72,65,47,64,-
1277,75,58,72,59,42,55,-
1278,188,169,187,73,53,72,-
1279,39,27,35,39,27,35,-
1280,68,53,64,57,42,52,-
1281,91,69,90,75,53,73,-
1282,129,101,126,89,61,87,-
1283,57,42,53,48,33,44,-
1284,60,45,56,51,36,47,-
1285,57,47,56,44,33,42,-
1286,78,66,75,54,42,51,-
1287,45,32,43,45,32,43,-
1288,54,42,51,44,33,41,-
1289,70,53,66,57,41,54,-
1290,45,35,44,41,30,39,-
1291,98,74,96,77,53,75,-
1292,84,64,82,69,49,67,-
1293,50,36,47,46,33,44,-
1294,92,70,90,71,48,69,-
1295,64,48,61,56,40,53,-
1296,104,90,100,54,40,50,-
1297,62,47,59,53,38,50,-
1298,122,109,120,56,42,53,-
1299,68,60,67,43,36,42,-
1300,47,33,43,47,33,43,-
1301,72,56,68,55,39,52,-
1302,99,84,98,64,48,62,-
1303,60,43,57,58,41,54,-
1304,78,60,74,61,44,58,-
1305,74,54,72,67,47,65,-
1306,103,88,98,56,40,51,-
1307,78,52,76,78,52,76,-
1308,92,77,89,60,44,57,-
1309,86,67,-,69,51,-,-
1310,88,64,-,77,53,-,-
1311,79,59,-,71,51,-,-
1312,92,75,89,61,44,57,-
1313,73,57,69,57,41,54,-
1314,149,127,147,70,48,68,-
1315,66,49,65,59,42,58,-
1316,59,44,54,52,37,47,-
1317,76,53,74,70,47,68,-
1318,63,48,58,53,37,48,-
1319,82,64,81,67,49,66,-
1320,70,48,68,70,48,68,-
1321,88,71,85,65,48,61,-
1322,71,55,66,54,39,50,-
1323,46,31,42,46,31,42,-
1324,83,66,80,60,43,57,-
1325,55,41,53,48,34,46,-
1326,68,49,67,66,46,64,-
1327,80,68,77,52,41,49,-
1328,80,68,77,52,41,49,-
1329,123,103,121,74,54,72,-
1330,180,166,177,56,42,54,-
1331,101,92,99,40,31,38,-
1332,120,105,-,67,52,-,-
1333,118,104,114,54,39,49,-
1334,99,81,-,65,47,-,-
1335,95,80,-,67,51,-,-
1336,84,69,79,54,39,50,-
1337,62,48,60,50,36,48,-
1338,62,48,60,50,36,48,-
1339,62,52,61,42,31,40,-
1340,89,73,86,63,47,60,-
1341,66,55,64,44,34,43,-
1342,95,80,92,57,42,54,-
1343,84,71,82,56,42,54,-
1344,84,71,82,56,42,54,-
1345,132,102,-,101,70,-,-
1346,71,55,-,60,44,-,-
1347,144,131,-,62,49,-,-
1348,63,49,60,56,42,53,-
1349,82,69,78,58,45,54,-
1350,98,85,97,62,49,60,-
1351,68,55,63,51,39,47,-
1352,64,52,60,52,41,49,-
1353,87,70,85,71,55,69,-
1354,80,65,76,65,50,62,-
1355,78,67,75,57,45,54,-
1356,77,64,76,61,48,60,-
1357,65,52,60,53,40,49,-
1358,10,8,-,9,7,-,-
1359,10,8,-,8,6,-,-
1360,10,8,-,8,6,-,-
1361,9,7,-,9,7,-,-
1362,10,8,-,9,7,-,-
1363,13,11,-,8,6,-,-
1364,23,20,-,13,10,-,-
1365,11,9,-,11,8,-,-
1366,12,9,-,12,9,-,-
1367,9,7,-,9,7,-,-
1368,18,15,-,15,11,-,-
1369,11,9,-,9,7,-,-
1370,11,9,-,11,9,-,-
1371,10,8,-,9,7,-,-
1372,11,10,-,8,7,-,-
1373,8,6,-,8,6,-,-
1374,7,5,-,7,5,-,-
1375,17,11,-,17,11,-,-
1376,18,14,-,18,14,-,-
1377,10,8,-,9,7,-,-
1378,14,10,-,13,10,-,-
1379,15,11,-,15,11,-,-
1380,11,8,-,10,7,-,-
1381,11,8,-,10,7,-,-
1382,11,9,-,10,8,-,-
1383,12,9,-,11,8,-,-
1384,13,10,-,12,9,-,-
1385,13,10,-,12,9,-,-
1386,13,10,-,12,9,-,-
1387,13,10,-,13,9,-,-
1388,11,9,-,10,8,-,-
1389,11,9,-,10,8,-,-
1390,12,9,-,11,8,-,-
1391,12,9,-,11,8,-,-
1392,11,8,-,9,6,-,-
1393,9,6,-,9,6,-,-
1394,525,410,509,430,314,413,-
1395,52,45,50,25,19,24,-
1396,1,1,1,153,114,148,-
1397,1,1,1,209,155,201,-
1398,43,35,-,39,30,-,-
1399,6,5,-,6,4,-,-
1400,14,10,-,14,10,-,-
1401,15,10,-,14,10,-,-
1402,5,-,-,-,-,-,-
1403,7,5,-,-,-,-,-
1404,175,168,-,40,33,-,-
1405,253,236,-,79,62,-,-
1406,136,123,-,59,47,-,-
1407,101,94,-,40,33,-,-
1408,444,432,-,62,50,-,-
1409,775,758,-,83,67,-,-
1410,56,44,-,56,44,-,-
1411,459,446,-,70,57,-,-
1412,44,35,-,44,35,-,-
1413,580,570,-,54,44,-,-
1414,70,54,-,70,54,-,-
1415,60,48,-,60,48,-,-
1416,92,70,-,92,70,-,-
1417,197,169,-,123,96,-,-
1418,85,63,-,85,63,-,-
1419,97,81,-,67,51,-,-
1420,157,139,-,79,62,-,-
1421,159,146,-,60,47,-,-
1422,63,55,-,45,36,-,-
1423,23,21,-,17,15,-,-
1424,38,34,-,25,21,-,-
1425,31,29,-,16,14,-,-
1426,23,21,-,17,15,-,-
1427,21,19,-,18,16,-,-
1428,237,214,-,98,75,-,-
1429,310,284,-,141,115,-,-
1430,106,86,-,87,67,-,-
1431,127,104,-,97,73,-,-
1432,83,70,-,67,53,-,-
1433,94,78,-,71,55,-,-
1434,4,3,-,3,2,-,-
1435,6,5,-,5,4,-,-
1436,223,194,-,119,90,-,-
1437,195,163,-,132,99,-,-
1438,218,199,-,82,63,-,-
1439,212,193,-,82,63,-,-
1440,-,-,-,-,-,-,-
1441,-,-,-,-,-,-,-
1442,-,-,-,-,-,-,-
1443,-,-,-,-,-,-,-
1444,9,6,-,8,6,-,4
1445,10,7,-,10,7,-,5
1446,19,16,-,12,9,-,6
1447,14,10,-,13,9,-,6
1448,12,9,-,10,7,-,5
1449,11,8,-,10,7,-,5
1450,21,18,-,12,9,-,6
1451,12,9,-,11,7,-,5
1452,14,11,-,11,8,-,5
1453,11,8,-,10,7,-,5
1454,11,8,-,11,7,-,5
1455,13,9,-,13,9,-,6
1456,13,9,-,12,8,-,6
1457,11,8,-,11,8,-,5
1458,21,17,-,15,10,-,8
1459,17,12,-,16,11,-,7
1460,11,8,-,10,7,-,5
1461,18,13,-,16,11,-,7
1462,11,9,-,10,7,-,5
1463,12,8,-,12,8,-,5
1464,19,15,-,12,9,-,7
1465,12,8,-,12,8,-,5
1466,10,7,-,10,7,-,5
1467,14,10,-,13,9,-,6
1468,23,19,-,12,9,-,6
1469,14,10,-,11,8,-,5
1470,27,23,-,15,11,-,8
1471,25,20,-,15,10,-,7
1472,21,17,-,13,10,-,7
1473,29,25,-,13,9,-,7
1474,20,14,-,19,13,-,9
1475,34,26,-,26,18,-,13
1476,23,17,-,21,15,-,10
1477,34,27,-,23,16,-,12
1478,26,20,-,22,15,-,11
1479,25,17,-,24,16,-,11
1480,25,17,-,24,16,-,11
1481,39,30,-,31,22,-,15
1482,30,22,-,26,18,-,13
1483,24,17,-,22,15,-,11
1484,31,24,-,24,17,-,13
1485,25,18,-,24,16,-,12
1486,37,30,-,24,17,-,12
1487,53,44,-,31,22,-,16
