ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height,status
130,BTA8101,,Bông tai,,,,,,Active
131,BTA8102,,Bông tai,,,,,,Active
132,BTA8103,,Bông tai,,,,,,Active
133,BTA8104,,Bông tai,,,,,,Active
134,BTA8105,,Bông tai,,,,,,Active
135,BTA8106,,Bông tai,,,,,,Active
136,BTA8107,,Bông tai,,,,,,Active
137,BTA8108,,Bông tai,,,,,,Active
138,BTA8109,,Bông tai,,,,,,Active
139,BTA8110,,Bông tai,,,,,,Active
140,BTA8111,,Bông tai,,,,,,Active
141,BTA8112,,Bông tai,,,,,,Active
142,BTA8113,,Bông tai,,,,,,Active
143,BTA8114,,Bông tai,,,,,,Active
144,BTA8115,,Bông tai,,,,,,Active
145,BTA8116,,Bông tai,,,,,,Active
146,BTA8117,Lavender Love,Bông tai,,,,,,Active
147,BTA8118,,Bông tai,,,,,,Active
148,BTA8122,,Bông tai,,,,,,Active
149,BTA8124,,Bông tai,,,,,,Active
150,BTA8125,,Bông tai,,,,,,Active
151,BTA8126,,Bông tai,,,,,,Active
152,BTA8127,Twisted Flower,Bông tai,,,,,,Active
153,BTA8128,,Bông tai,,,,,,Active
154,BTA8130,,Bông tai,,,,,,Active
155,BTA8131,,Bông tai,,,,,,Active
156,BTA8132,,Bông tai,,,,,,Active
157,BTA8133,,Bông tai,,,,,,Active
158,BTA8134,Snow Flower,Bông tai,,,,,,Active
159,BTA8135,Truly,Bông tai,,,,,,Active
160,BTA8136,Custom With Fancy Shape,Bông tai,,,,,,Active
161,BTA8137,The Flower,Bông tai,,,,,,Active
162,BTA8138,Stunning Flaze,Bông tai,,,,,,Active
163,BTA8139,Autumn Leaves,Bông tai,,,,,,Active
164,BTA8140,Glorious Emerald,Bông tai,,,,,,Inactive
165,BTA8141,Emerald Shape & Half Maquise Halo,Bông tai,,,,,,Active
166,BTA8142,Custom Cushion,Bông tai,,,,,,Active
167,BTA8143,Bowtie & Pear Cut,Bông tai,,,,,,Active
168,BTA8144,Sweet Heart Earring,Bông tai,,,,,,Active
169,BTA8145,Plumeria Custom,Bông tai,,,,,,Inactive
170,BTA8146,Plumeria Custom,Bông tai,,,,,,Active
171,BTA8147,Rosie Heart,Bông tai,,,,,,Active
172,BTA8148,Heart Of Venus,Bông tai,,,,,,Active
173,BTA8149,Tender Heart,Bông tai,,,,,,Active
174,BTA8150,Dazzling Heart,Bông tai,,,,,,Active
175,BTA8151,Adorable Heart,Bông tai,,,,,,Active
176,BTA9001,,Bông tai,,,,,,Inactive
177,BTA9002,,Bông tai,,,,,,Inactive
178,BTA9003,,Bông tai,,,,,,Active
179,CHS1017,,Nhẫn cầu hôn,,12,1.3,,7.3,Inactive
180,CHS1314,,Nhẫn cầu hôn,,10,1.6,,7.8,Inactive
181,CHS1504,,Nhẫn cầu hôn,,10,1.5,,6.6,Inactive
182,CHS1507,,Nhẫn cầu hôn,,11,1.4,,6.8,Inactive
