ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
Pattern,Shape2,Size2,SL2,Shape3,Size3,,
167,Pear,6,3.33,2.78,,,
168,Heart,3.5,1.13,1.05,,,
169,Round,,3.4,3.17,,,
170,Round,,6.5,6.06,,,
171,,,2.63,2.45,,,
172,,,0.71,0.65,,,
173,,,1.66,1.55,,,
174,Heart,4,2.43,2.27,,,
175,,,1.2,1.1,,,
176,Round,6.8,6.63,6.18,,,
177,Round,6.8,7.91,7.38,,,
178,Princess,6,6.15,5.73,,,
179,Round,5.4,3.37,2.82,4.52,,
180,Round,5.4,3.04,2.54,4.08,,
181,Round,5.4,2.83,2.37,3.79,,
182,Round,5.4,3.32,2.77,4.45,,
183,Round,6.3,3.28,2.74,4.39,,
184,Round,5.4,3.24,2.71,4.34,,
185,Round,5.4,3.22,2.69,4.31,,
186,Round,5.4,3.34,2.79,4.48,,
187,Round,5.4,3.64,3.04,4.88,,
188,Round,6.3,3.62,3.03,4.86,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,1.98,1.85,,,
206,,,2.78,2.59,,,
207,,,2.79,2.56,,,
208,Round,3.6,1.08,1.01,,,
209,Round,5,2.65,2.47,,,
210,Round,4.5,2.03,1.89,,,
211,,,3.1,2.89,4.08,,
212,,,2.7,2.52,,,
213,,,0.11,0.11,,,
214,,,0.13,0.12,,,
215,,,0.96,0.9,1.3,,
216,,,1.11,1.02,1.46,,
217,,,1.82,1.52,,,
218,,,0.66,0.79,,,
219,,,1.11,1.02,,,
220,,,1.83,1.68,,,
221,,,1.04,0.96,,,
222,,,1.8,1.65,,,
223,,,1.27,1.19,,,
224,,,3.1,2.89,,,
225,,,2.43,2.23,,,
226,,,2.51,2.3,,,
227,,,2.07,1.9,,,
228,Round,4.1,0.27,0.25,,,
229,Round,4.5,0.93,0.86,,,
230,Heart,5.4,0.24,0.2,0.31,,
231,Emerald,8.3,1.65,1.54,,,
232,Heart,5.49,0.86,0.79,1.14,,
233,Oval,12,1.37,1.28,,,
234,Cushion,6.3,1.18,1.09,,,
235,Princess,5.5,1.31,1.22,,,
236,Princess,4.1,0.97,0.79,,,
237,Round,4.1,0.58,0.54,,,
238,Round,4.5,0.6,0.55,0.79,,
239,Round,4.5,0.72,0.67,,,
240,Round,4.5,0.36,0.34,,,
241,Round,4.5,1.04,0.95,,,
242,Round,4.5,1.16,1.06,,,
243,Round,5.4,1.7,1.59,,,
244,Round,5.4,1.68,1.57,,,
245,Round,5.4,1.42,1.33,,,
246,Round,5.4,1.74,1.62,,,
247,Round,5,1.63,1.52,,,
248,Round,5,2.29,2.13,,,
249,Round,5.4,1.83,1.71,,,
250,Round,5.4,1.49,1.39,,,
251,Round,4.5,1.27,1.19,,,
252,Round,5.4,1.41,1.18,,,
253,Round,5.4,2.63,2.46,,,
254,Round,5,3.94,3.68,,,
255,Emerald,6,3.06,2.81,,,
256,Round,7.2,4.31,3.96,,,
257,Cushion,5.4,2.02,1.88,,,
258,Cushion,5.5,3.48,3.25,,,
259,Cushion,5.4,2.02,1.88,,,
260,Round,5.4,1.38,1.28,,,
261,,,3.48,3.24,,,
262,,,5.14,4.8,,,
263,Round,3.6,1.17,1.09,,,
264,Round,4.1,1.39,1.28,,,
265,Round,5.4,2.23,2.08,,,
266,Round,5.4,1.39,1.3,,,
267,Round,4.1,0.54,0.51,,,
268,Round,4,1.83,1.7,,,
269,Round,5,2.36,2.2,,,
270,Round,5.5,1.84,1.71,,,
271,Round,4.5,2.56,2.39,,,
272,Round,4.5,0.7,0.65,,,
273,Round,5.4,1.13,1.06,,,
274,Round,3.6,2.66,2.44,,,
275,Round,4.5,1.3,1.2,,,
276,Round,4.5,0.58,0.53,0.77,,
277,Round,3.6,0.75,0.69,,,
278,Round,4.5,0.99,0.91,,,
279,Round,5.4,2.82,2.63,,,
280,Pear,8,3.44,2.87,,,
281,Oval,8,2.17,1.81,,,
282,Round,6.3,3.55,2.96,,,
283,Pear,9,2.25,2.07,2.98,,
284,Emerald,7,2.72,2.53,,,
285,Emerald,7.5,2.83,2.64,,,
286,Cushion,6.5,2.57,2.15,,,
287,Round,6.3,3.35,2.8,,,
288,Round,4.5,2.65,2.21,,,
289,,,5.67,5.29,,,
290,Pear,8,2.75,2.7,,,
291,Round,4.1,0.88,0.86,,,
292,Round,4.5,0.62,0.58,,,
293,Marquise,7,1.6,1.49,,,
294,Round,4.5,0.74,0.69,,,
295,Round,5.4,1.35,1.26,,,
296,,,2.12,1.77,,,
297,,,2.36,2.17,,,
298,Heart,5.4,3.94,3.68,,,
299,,,0.96,0.9,,,
300,,,2.06,1.92,,,
301,,,1.25,1.15,,,
302,,,1.08,1,,,
303,Heart,5,2.74,2.56,,,
304,,,1.23,1.13,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,4.63,4.25,6.12,,
432,,,2.49,2.29,3.29,,
433,,,2.31,2.12,3.05,,
434,,,2.41,2.21,3.1,,
435,,,1.76,1.62,2.33,,
436,,,2.19,1.83,,,
437,,,2.24,2.06,2.96,,
438,,,2.18,2,2.88,,
439,,,2.04,1.7,,,
440,,,2.81,2.63,,,
441,,,2.44,2.24,3.23,,
442,,,3.66,3.06,,,
443,,,2.33,2.14,,,
444,,,2.66,2.48,,,
445,,,3.11,2.9,,,
446,,,2.72,2.28,,,
447,,,5.56,5.18,,,
448,,,2.1,1.93,2.77,,
449,,,3.06,3,,,
450,,,6.89,6.43,,,
451,,,2.97,2.91,4.19,,
452,,,2.74,2.56,,,
453,,,5.03,4.69,,,
454,,,4.4,4.1,,,
455,,,4.58,4.27,,,
456,,,4.51,4.21,,,
457,,,2.05,1.71,4.28,,
458,,,2.86,2.39,3.84,,
459,,,2.13,1.78,2.85,,
460,,,2.35,1.97,,,
461,,,2.13,1.78,2.92,,
462,,,1.92,1.6,2.78,,
463,,,2.35,1.96,3.72,,
464,,,2.51,2.09,3.36,,
465,,,2.54,2.12,3.44,,
466,,,1.68,1.4,2.69,,
467,,,1.66,1.39,2.23,,
468,,,1.52,1.27,2.12,,
469,,,2.62,2.19,,,
470,,,1.37,1.14,,,
471,,,1.63,1.36,2.19,,
472,,,1.76,1.47,,,
473,,,1.87,1.56,2.77,,
474,,,1.6,1.33,2.18,,
475,,,4.72,3.94,,,
476,,,2.72,2.27,,,
477,,,1.93,1.61,,,
478,,,1.31,1.1,,,
479,,,0.98,0.82,1.57,,
480,,,1.33,1.11,1.78,,
481,,,1.92,1.61,,,
482,,,3.33,2.79,,,
483,,,2.7,2.26,3.83,,
484,,,2.86,2.39,,,
485,,,2.47,2.06,,,
486,,,3.6,3.01,,,
487,,,1.89,1.58,2.54,,
488,,,2.59,2.16,3.48,,
489,,,3.42,3.19,,,
490,,,2.06,1.92,,,
491,,,1.63,1.52,2.19,,
492,,,2.42,2.22,3.2,,
493,,,3.56,3.27,4.7,,
494,,,1.83,1.53,,,
495,,,3.27,3.05,,,
496,,,2.2,1.84,,,
497,,,5.58,4.66,,,
498,,,3.74,3.12,,,
499,,,1.97,1.81,2.61,,
500,,,2.8,2.34,,,
501,,,4.22,3.94,,,
502,,,2.6,2.17,,,
503,,,3.19,2.67,,,
504,,,3.14,2.62,,,
505,,,1.67,1.39,,,
506,,,2.45,2.25,3.23,,
507,,,3.58,2.99,,,
508,,,2.57,2.14,,,
509,,,3.17,2.91,4.18,,
510,,,2.99,2.75,3.95,,
511,,,2.54,2.12,,,
512,,,1.99,1.67,,,
513,,,4.2,3.85,5.54,,
514,,,4.95,4.54,6.53,,
515,,,2.8,2.57,3.7,,
516,,,2.74,2.55,3.67,,
517,,,4.4,4.1,5.9,,
518,,,2.29,2.1,3.02,,
519,,,2.62,2.44,3.51,,
520,,,3.29,3.06,4.4,,
521,,,3.74,2.95,,,
522,,,3,2.85,4.09,,
523,,,3.62,3.31,4.76,,
524,,,3.5,3.16,4.55,,
525,,,3.73,3.43,4.92,,
526,,,5.61,4.59,,,
527,,,5,4.67,6.71,,
528,,,3.39,3.11,4.47,,
529,,,3.87,3.24,,,
530,,,4.33,3.62,,,
531,,,2.84,2.61,3.75,,
532,,,6.26,5.75,8.27,,
533,,,4.31,3.6,,,
534,,,3.69,3.08,,,
535,,,4.74,4.35,6.25,,
536,,,5.13,4.29,,,
537,,,5.6,4.68,,,
538,,,4.86,4.06,,,
539,,,3.04,2.79,4.01,,
540,,,3.79,3.17,,,
541,,,2.43,2.03,,,
542,,,2.74,2.29,,,
543,,,2.53,2.12,,,
544,,,4.21,3.52,,,
545,,,4.68,4.37,,,
546,,,5.8,5.49,,,
547,,,3.94,3.62,5.21,,
548,,,5.17,4.32,,,
549,,,3.32,3.05,4.37,,
550,,,6.21,5.79,,,
551,,,3.8,3.55,,,
552,,,5.45,5.08,,,
553,,,3.08,2.83,4.07,,
554,,,3.8,3.49,,,
555,,,2.5,2.29,3.3,,
556,Round,4.1,3.44,2.87,,,
557,Round,4.1,5.42,4.97,7.15,,
558,Round,5.4,3.89,3.57,5.13,,
559,,,4.51,3.77,,,
560,,3.6,5.59,5.14,7.39,,
561,Round,3.6,4.11,3.44,,,
562,,,6.94,5.8,,,
563,,,5.05,4.64,6.67,,
564,,,4.61,4.3,,,
565,,,5.35,4.91,7.06,,
566,,,6.5,5.97,8.58,,
567,,,4.83,4.43,6.37,,
568,,,3.41,3.13,4.5,,
569,,,4.5,3.76,,,
570,,,5.21,4.36,,,
571,,,3.34,3.06,4.4,,
572,,,8.7,7.27,,,
573,,,2.38,2.18,,,
574,,,3.68,3.38,,,
575,,,2.08,1.91,,,
576,,,3.01,2.77,,,
577,,,3.48,3.2,,,
578,,,2.6,2.38,,,
579,,,2.42,2.22,,,
580,,,1.85,1.7,,,
581,,,1.2,1.12,,,
582,,,2.11,1.97,,,
583,,,3.79,3.48,,,
584,,,1.28,1.18,1.69,,
585,,,2.7,2.48,3.57,,
586,,,2.32,2.16,,,
587,,,4.52,4.15,,,
588,,,5.2,4.78,6.87,,
589,,,4.36,3.64,,,
590,,,3.61,3.32,4.77,,
591,,,3.79,3.48,,,
592,,,3.45,3.38,,,
593,,,4.98,4.64,,,
594,Round,5.4,3.99,3.33,,,
595,Round,4.5,2.42,2.02,3.19,,
596,Round,5.4,2.6,2.17,3.43,,
597,Round,6.3,2.56,2.14,3.38,,
598,Round,5.4,2.78,2.33,-,,
599,Round,5.4,2.57,2.15,3.39,,
600,Round,5.4,2.27,1.89,3,,
601,Round,6.4,3.06,2.56,,,
602,Round,5,3.28,2.74,,,
603,Round,5.4,4.1,3,,,
604,Round,5.4,2.28,1.91,3.01,,
605,Round,5.4,3.05,2.55,4.03,,
606,Round,5.4,3.36,3.14,,,
607,Round,5.4,2.57,2.15,3.39,,
608,Round,5.4,2.34,1.96,3.09,,
609,Round,5,1.96,1.64,,,
610,Round,5.4,1.71,1.43,-,,
611,Round,5.4,2.09,1.74,,,
612,Round,5.4,2.03,1.7,-,,
613,Round,5.4,3.14,2.93,,,
614,Round,5.4,3,2.8,,,
615,Round,5.4,2.74,2.51,3.61,,
616,Round,5.4,2.12,1.77,2.8,,
617,Round,5.4,2.45,2.05,3.23,,
618,Round,4.5,1.87,1.56,2.47,,
619,Round,5.4,2.27,1.9,3,,
620,Round,5.4,2.49,2.08,3.29,,
621,Round,5.4,2.51,2.1,3.31,,
622,Round,6.3,2.44,2.04,3.22,,
623,Round,5.4,1.94,1.62,2.56,,
624,Round,5.4,2.93,2.69,3.87,,
625,Round,4.5,2.12,1.77,2.8,,
626,Round,5.4,3.66,3.36,,,
627,Round,5.4,3.18,2.66,4.2,,
628,Round,7.2,3.51,2.93,4.63,,
629,Round,7.2,3.71,3.1,4.9,,
630,Round,5.4,2.12,1.78,2.8,,
631,Round,5.4,3.79,3.53,,,
632,Round,5.4,2.25,1.88,2.97,,
633,Round,5.4,5.3,4.87,,,
634,Round,5.4,3.58,3.29,,,
635,Round,5.4,2.41,2.01,3.18,,
