,,,,,,,,,,,,,,,Shape và Size tấm >>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,">>>,2D,inputs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
STT,Mã Thiết Kế,Tên gọi riêng,Dòng hàng,Đường kính vòng (cm),Ni,Shape viên chủ, Size viên chủ , Vàng 18k , Vàng 14k , Pt900 , Vàng 10K ,"Plain/
Pattern", TL tấm (KC) , TL tấm (CZ) ,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,Loại ĐH mặc định khi có bất kỳ chỉnh sửa nào,Kích thước độ DÀY THÂN - Mặc định,Kích thước độ RỘNG THÂN - Mặc định,Kích thước độ DÀY ĐÁY - Mặc định,Kích thước độ RỘNG ĐÁY - Mặc định2,Kích thước độ DÀY ĐIỂM TRÊN - Mặc định,Kích thước độ RỘNG ĐIỂM TRÊN - Mặc định,Kích thước chiều CAO ổ/chấu,Plantinum (Có/Không),Nguyên nhân/Rủi ro Không làm Platinum,"Tên sản phẩm (Công bố Website)
Dòng hàng + Tên gọi riêng + Mã Thiết kế",Tên ngắn gọn,Cảm hứng thiết kế,Bộ sưu tập,Thời gian ra mắt,Image link, Dia+18K , Dia+14K , Dia+Pt900 , CZ+18K , CZ+14K , CZ+Pt900 , Dia+10K , CZ+10K ,Best-Selling,"Kiểu dáng
Main Catalogue","Kiểu dáng
Sub Catalogue",Vàng Trắng,Vàng Vàng,Vàng Hồng,Màu sắc mặc định Catalogue,Tấm (Có/Không),Brand Class,Product Class,Status,New version,Batch
260,MDA2125,,Mặt dây chuyền,,,Round,5.4, 1.38 , 1.28 ,   ,, Plain , 0.16 ,,Round,1.3*1.3,6,Round,1.7*1.7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2125,0,0,MDA 2023,,," 14,430,000 "," 12,740,000 "," 15,260,000 "," 8,040,000 "," 6,340,000 "," 8,870,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class A , Active , -   , - 
261,MDA2126,Tournesol Bleu,Mặt dây chuyền,,,,   , 3.48 , 3.24 ,   ,, Plain , 0.57 ,,Round,1.8*1.8,9,Round,1.2*1.2,1,Round,1.3*1.3,24,Round,1.0*1.0,16,Round,0.9*0.9,8,Round,1.1*1.1,8,Round,0.8*0.8,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Tournesol Bleu MDA2126,0,0,MDA 2022,,," 40,260,000 "," 36,030,000 "," 40,830,000 "," 20,150,000 "," 15,930,000 "," 20,730,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
262,MDA2127,White Camellia Pendant ,Mặt dây chuyền,,,,   , 5.14 , 4.80 ,   ,, Plain , 0.36 ,,Round,1.7*1.7,1,Round,1.6*1.6,1,Round,1.4*1.4,2,Round,1.1*1.1,9,Round,1.0*1.0,1,Round,1.2*1.2,1,Round,1.5*1.5,20,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền White Camellia Pendant  MDA2127,0,HOA SƠN TRÀ TRẮNG ,White Treasure,,," 37,990,000 "," 31,810,000 "," 37,020,000 "," 25,990,000 "," 19,810,000 "," 25,020,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
263,MDA2131,,Mặt dây chuyền,,,Round,3.6, 1.17 , 1.09 ,   ,, Plain , 0.17 ,,Round,1.7*1.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2131,0,0,Classic Pendant,,," 13,120,000 "," 11,700,000 "," 13,980,000 "," 6,940,000 "," 5,520,000 "," 7,800,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
264,MDA2132,,Mặt dây chuyền,,,Round,4.1, 1.39 , 1.28 ,   ,, Plain , 0.11 ,,Round,1.7*1.7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2132,0,0,Classic Pendant,,," 11,840,000 "," 10,100,000 "," 12,670,000 "," 7,720,000 "," 5,980,000 "," 8,550,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
265,MDA2133,,Mặt dây chuyền,,,Round,5.4, 2.23 , 2.08 ,   ,, Pattern , 0.21 ,,Round,1.5*1.5,6,Round,1.8*1.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2133,0,0,Valentine Love,,," 20,550,000 "," 17,860,000 "," 21,280,000 "," 12,750,000 "," 10,060,000 "," 13,480,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Hồng , Yes , PREMIUM , E2 , Active , -   , - 
266,MDA2134,,Mặt dây chuyền,,,Round,5.4, 1.39 , 1.30 ,   ,, Plain , 0.18 ,,Round,2.0*2.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2134,0,0,Valentine Love,,," 14,370,000 "," 12,710,000 "," 15,200,000 "," 7,800,000 "," 6,130,000 "," 8,630,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
267,MDA2135,,Mặt dây chuyền,,,Round,4.1, 0.54 , 0.51 ,   , 0.48 , Plain , 0.06 ,,Round,1.1*1.1,1,Round,1.5*1.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2135,0,0,Valentine Love,,," 5,950,000 "," 5,320,000 "," 6,790,000 "," 3,760,000 "," 3,130,000 "," 4,610,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class A , Active , -   , - 
268,MDA2136,,Mặt dây chuyền,,,Round,4, 1.83 , 1.70 ,   ,, Pattern , 0.29 ,,Round,2.5*2.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2136,0,0,Valentine Love,,," 21,110,000 "," 18,870,000 "," 21,800,000 "," 10,420,000 "," 8,190,000 "," 11,110,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Hồng , Yes , PREMIUM , E2 , Active , -   , - 
269,MDA2137,,Mặt dây chuyền,,,Round,5, 2.36 , 2.20 ,   ,, Pattern , 0.32 ,,Round,2.2*2.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA2137,0,0,Valentine Love,,," 23,770,000 "," 20,910,000 "," 24,480,000 "," 13,190,000 "," 10,340,000 "," 13,900,000 ", - , - ,,Halo,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
270,MDA3102,,Mặt dây chuyền,,,Round,5.5, 1.84 , 1.71 ,   ,, Plain , 0.08 ,,Round,0.8*0.8,9,Round,0.9*0.9,12,Round,1.0*1.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA3102,0,0,Tierra Base Products,,," 17,050,000 "," 14,810,000 "," 17,830,000 "," 10,970,000 "," 8,730,000 "," 11,750,000 ", - , - ,,Heart Shape,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class B , Active , -   , - 
271,MDA3103,,Mặt dây chuyền,,,Round,4.5, 2.56 , 2.39 ,   ,, Plain , 0.21 ,,Round,1.3*1.3,4,Round,1.7*1.7,2,Round,1.8*1.8,2,Round,0.9*0.9,3,Round,1.6*1.6,1,Round,1.5*1.5,3,Round,1.4*1.4,1,Round,1.0*1.0,2,Round,1.2*1.2,2,Round,1.1*1.1,1,,,,,,,,,,,Mặt dây chuyền MDA3103,0,0,Tierra Base Products,,," 22,800,000 "," 19,720,000 "," 23,490,000 "," 13,790,000 "," 10,700,000 "," 14,480,000 ", - , - ,,Heart Shape,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class B , Active , -   , - 
272,BMD3105,,Mặt dây chuyền,,,Round,4.5, 0.70 , 0.65 ,   , 0.57 , Plain , 0.06 ,,Round,0.8*0.8,2,Round,0.9*0.9,14,Round,1.0*1.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền BMD3105,0,0,Valentine Love,,," 10,410,000 "," 9,460,000 ", - ," 5,690,000 "," 4,740,000 ", - , - ," 3,800,000 ",,Heart Shape,All, Yes , Yes , Yes , Trắng-Hồng , Yes , PREMIUM SMART , Class A , Active , -   , - 
273,MDA4101,,Mặt dây chuyền,,,Round,5.4, 1.13 , 1.06 ,   ,, Plain , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA4101,0,0,Tierra Base Products,,," 5,990,000 "," 4,650,000 "," 6,690,000 "," 5,990,000 "," 4,650,000 "," 6,690,000 ", - , - ,,Twist,All, Yes , Yes , Yes , Trắng , No , PREMIUM , Class A , Active , -   , - 
274,MDA4102,,Mặt dây chuyền,,,Round,3.6, 2.66 , 2.44 ,   ,, Plain , 0.17 ,,Round,1.4*1.4,4,Round,1.5*1.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA4102,0,0,Tierra Base Products,,," 20,320,000 "," 16,960,000 "," 20,990,000 "," 13,820,000 "," 10,470,000 "," 14,500,000 ", - , - ,,Twist,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
275,BMD4103,,Mặt dây chuyền,,,Round,4.5, 1.30 , 1.20 ,   , 0.93 , Plain , 0.07 ,,Round,1.0*1.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền BMD4103,0,0,Tierra Base Products,,," 12,890,000 "," 11,100,000 ", - ," 8,410,000 "," 6,620,000 ", - , - ," 4,560,000 ",,Twist,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM SMART , Class B , Active , -   , - 
276,BMD4104,,Mặt dây chuyền,,,Round,4.5, 0.58 , 0.53 , 0.77 , 0.42 , Plain ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền BMD4104,0,0,Classic Pendant,,," 3,690,000 "," 2,860,000 ", - ," 3,690,000 "," 2,860,000 ", - , - ," 1,980,000 ",,Twist,All, Yes , Yes , Yes , Trắng , No , PREMIUM SMART , Class A , Active , -   , - 
277,MDA5101,,Mặt dây chuyền,,,Round,3.6, 0.75 , 0.69 ,   ,, Plain , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA5101,0,0,Tierra Base Products,,," 4,310,000 "," 3,370,000 "," 5,060,000 "," 4,310,000 "," 3,370,000 "," 5,060,000 ", - , - ,,Chain,All, Yes , Yes , Yes , Trắng , No , PREMIUM , Class B , Active , -   , - 
278,BMD8110,,Mặt dây chuyền,,,Round,4.5, 0.99 , 0.91 ,   , 0.70 , Plain , 0.34 ,,Round,2.9*2.9,1,Round,3.6*3.6,1,Round,2.7*2.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền BMD8110,0,0,Tierra Base Products,,," 23,710,000 "," 22,330,000 ", - ," 6,050,000 "," 4,670,000 ", - , - ," 3,100,000 ",,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM SMART , E1 , Active , -   , - 
279,MDA8111,,Mặt dây chuyền,,,Round,5.4, 2.82 , 2.63 ,   ,, Plain , 0.21 ,,Round,1.4*1.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA8111,0,0,MDA 2022,,," 23,540,000 "," 20,140,000 "," 24,200,000 "," 14,860,000 "," 11,450,000 "," 15,510,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
280,MDA8115,Bowtie And Pear Cut,Mặt dây chuyền,,,Pear, 8.0*6.0 , 3.44 , 2.87 ,   ,, Pattern , 0.60 ,,Round,1.1*1.1,2,Round,1.3*1.3,24,Round,1.0*1.0,7,Round,1.2*1.2,4,Round,0.8*0.8,2,Round,2.5*2.5,1,Round,1.5*1.5,22,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Bowtie And Pear Cut MDA8115,0,0,MDA 2022,,," 41,630,000 "," 36,310,000 "," 42,210,000 "," 20,760,000 "," 15,440,000 "," 21,340,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , Class B , Active , -   , - 
281,MDA8116,Fancy Shape ,Mặt dây chuyền,,,Oval, 8.0*6.0 , 2.17 , 1.81 ,   ,, Plain , 0.78 ,,Marquise,4.0*2.0,2,Pear,4.0*2.5,3,Round,2.2*2.2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Fancy Shape  MDA8116,0,0,MDA 2022,,," 67,980,000 "," 64,620,000 "," 68,720,000 "," 12,530,000 "," 9,180,000 "," 13,270,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
282,MDA8117,The Flower ,Mặt dây chuyền,,,Round,6.3, 3.55 , 2.96 ,   ,, Plain , 0.41 ,,Round,1.1*1.1,42,Round,1.0*1.0,36,Round,0.9*0.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền The Flower  MDA8117,0,0,MDA 2022,,," 42,840,000 "," 37,340,000 "," 43,410,000 "," 21,920,000 "," 16,420,000 "," 22,490,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
283,MDA8118,Autumn Leaves,Mặt dây chuyền,,,Pear, 9*7 , 2.25 , 2.07 , 2.98 ,, Plain , 0.20 ,,Round,1.2*1.2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Autumn Leaves MDA8118,0,0,MDA 2022,,," 21,130,000 "," 18,320,000 "," 21,930,000 "," 12,990,000 "," 10,170,000 "," 13,780,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class B , Active , -   , - 
284,MDA8119,Glorious Emerald,Mặt dây chuyền,,,Emerald, 7.0*5.0 , 2.72 , 2.53 ,   ,, Plain , 0.34 ,,Round,1.1*1.1,28,Round,0.9*0.9,1,Round,0.8*0.8,1,Round,1.3*1.3,12,Round,1.2*1.2,2,Round,1.1*1.1,1,Round,1.4*1.4,2,Round,1.0*1.0,18,,,,,,,,,,,,,,,,,Mặt dây chuyền Glorious Emerald MDA8119,0,0,MDA 2022,,," 32,150,000 "," 28,840,000 "," 32,820,000 "," 16,600,000 "," 13,290,000 "," 17,270,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Vàng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
285,MDA8120,Emerald Shape And Half Masquise Halo,Mặt dây chuyền,,,Emerald, 7.5*5.5 , 2.83 , 2.64 ,   ,, Plain , 0.67 ,,Round,1.2*1.2,2,Round,1.5*1.5,1,Round,1.0*1.0,12,Round,1.1*1.1,14,Marquise,4.0*2.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Emerald Shape And Half Masquise Halo MDA8120,0,0,MDA 2022,,," 67,770,000 "," 64,360,000 "," 68,430,000 "," 17,100,000 "," 13,680,000 "," 17,760,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Hồng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
286,MDA8121,Custom Cushion,Mặt dây chuyền,,,Cushion,6.5, 2.57 , 2.15 ,   ,, Plain , 0.37 ,,Round,1.0*1.0,35,Round,1.3*1.3,23,Round,1.2*1.2,2,Round,0.8*0.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Custom Cushion MDA8121,0,0,MDA 2022,,," 33,550,000 "," 29,590,000 "," 34,230,000 "," 16,480,000 "," 12,530,000 "," 17,170,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Hồng , Yes , PREMIUM , E1 , Active , -   , - 
287,MDA8122,Lotus Of Clear Moon,Mặt dây chuyền,,,Round,6.3, 3.35 , 2.80 ,   ,, Plain , 0.88 ,,Round,1.3*1.3,5,Round,1.8*1.8,1,Round,2.2*2.2,5,Round,2.5*2.5,4,Round,1.5*1.5,4,Round,1.2*1.2,4,Round,1.1*1.1,16,Round,0.8*0.8,24,Round,0.9*0.9,32,Round,1.0*1.0,24,,,,,,,,,,,Mặt dây chuyền Lotus Of Clear Moon MDA8122,0,0,MDA 2022,,," 56,550,000 "," 51,390,000 "," 57,140,000 "," 22,000,000 "," 16,830,000 "," 22,590,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , Class B , Active , -   , - 
288,MDA8123,Stunning Flaze,Mặt dây chuyền,,,Round,4.5, 2.65 , 2.21 ,   ,, Plain , 0.61 ,,Marquise,3.5*1.5,2,Round,1.3*1.3,31,Round,2.0*2.0,1,Pear,3.0*2.0,2,Pear,5.0*3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền Stunning Flaze MDA8123,0,0,MDA 2022,,," 52,140,000 "," 48,040,000 "," 52,820,000 "," 15,660,000 "," 11,560,000 "," 16,340,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , UPPER PREMIUM , E1 , Active , -   , - 
289,MDA8124,White Camellia Necklace,Mặt dây chuyền,,,,   , 5.67 , 5.29 ,   ,, Plain , 0.24 ,,Round,2.0*2.0,1,Round,0.9*0.9,28,Round,1.0*1.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền White Camellia Necklace MDA8124,0,HOA SƠN TRÀ TRẮNG ,White Treasure,,," 42,420,000 "," 35,580,000 "," 41,250,000 "," 29,600,000 "," 22,750,000 "," 28,420,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class B , Active , -   , - 
290,MDA8125,,Mặt dây chuyền,,,Pear, 8.0*4.9 , 2.75 , 2.70 ,   ,, Plain , 0.37 ,,Round,1.5*1.5,22,Round,2.0*2.0,1,Round,2.5*2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA8125,0,0,Classic Pendant,,," 28,600,000 "," 25,750,000 "," 29,270,000 "," 14,910,000 "," 12,050,000 "," 15,570,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E1 , Active , -   , - 
291,MDA8126,,Mặt dây chuyền,,,Round,4.1, 0.88 , 0.86 ,   ,, Plain , 0.16 ,,Round,3.0*3.0,1,Round,2.5*2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA8126,0,0,Classic Pendant,,," 12,020,000 "," 11,100,000 "," 12,830,000 "," 5,160,000 "," 4,230,000 "," 5,960,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class B , Active , -   , - 
292,BMD8127,,Mặt dây chuyền,,,Round,4.5, 0.62 , 0.58 ,   , 0.50 , Plain , 0.03 ,,Round,0.8*0.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền BMD8127,0,0,Classic Pendant,,," 7,150,000 "," 6,330,000 ", - ," 4,790,000 "," 3,960,000 ", - , - ," 3,100,000 ",,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM SMART , E1 , Active , -   , - 
293,MDA8128,,Mặt dây chuyền,,,Marquise, 7.0*3.5 , 1.60 , 1.49 ,   ,, Plain , 1.13 ,,Round,2.5*2.5,4,Round,2.2*2.2,1,Round,1.8*1.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA8128,0,0,Valentine Love,,," 19,630,000 "," 17,690,000 "," 20,430,000 "," 8,930,000 "," 6,990,000 "," 9,740,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , E3 , Active , -   , - 
294,MDA8129,,Mặt dây chuyền,,,Round,4.5, 0.74 , 0.69 ,   ,, Plain , 0.09 ,,Round,1.2*1.2,11,Round,0.9*0.9,3,Round,1.0*1.0,3,Round,0.8*0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA8129,0,0,Valentine Love,,," 10,620,000 "," 9,730,000 "," 11,530,000 "," 5,530,000 "," 4,630,000 "," 6,440,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
295,MDA8130,,Mặt dây chuyền,,,Round,5.4, 1.35 , 1.26 ,   ,, Pattern , 0.12 ,,Round,1.0*1.0,16,Round,0.8*0.8,16,Round,1.5*1.5,1,Round,1.2*1.2,1,Round,1.3*1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền MDA8130,0,0,Valentine Love,,," 16,570,000 "," 14,940,000 "," 17,410,000 "," 10,010,000 "," 8,380,000 "," 10,850,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
296,BMD8136,,Mặt dây chuyền,,,,   , 2.12 , 1.77 ,   , 1.33 , Plain , 0.02 ,,Round,1.0*1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mặt dây chuyền BMD8136,0,0,Tierra Base Products,,," 12,670,000 "," 9,020,000 ", - ," 11,540,000 "," 7,900,000 ", - , - ," 4,750,000 ",,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM SMART , E1 , Active , -   , - 
297,MDA8137,Love Of Swan,Mặt dây chuyền,,,,   , 2.36 , 2.17 ,   ,, Plain , 0.18 ,,Round,0.9*0.9,1,Round,1.5*1.5,8,Round,1.3*1.3,2,Round,1.0*1.0,13,Round,1.2*1.2,1,,,,,,,,,,,,,,,,,,,,,,,,Không,Chi tiết trang trí chim thiên nga nhỏ,Mặt dây chuyền Love Of Swan MDA8137,0,0,MDA 2022,,," 21,430,000 "," 18,470,000 ", - ," 13,100,000 "," 10,150,000 ", - , - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class B , Active , -   , - 
298,MDA8144,Sweet Heart Necklace,Mặt dây chuyền,,,Heart,5.4, 3.94 , 3.68 ,   ,, Plain , 0.46 ,,Round,1.2*1.2,15,Round,1.3*1.3,9,Round,1.4*1.4,10,Round,0.8*0.8,6,Round,0.9*0.9,7,Round,1.0*1.0,7,Round,1.1*1.1,3,Round,1.5*1.5,7,Round,1.6*1.6,2,,,,,,,,,,,,,,Mặt dây chuyền Sweet Heart Necklace MDA8144,0,0,MDA 2022,,," 40,210,000 "," 35,470,000 "," 40,730,000 "," 22,160,000 "," 17,420,000 "," 22,680,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
299,MDA8145,,Mặt dây chuyền,,,,   , 0.96 , 0.90 ,   ,, Plain , 0.32 ,,Round,1.1*1.1,12,Round,1.4*1.4,4,Round,1.2*1.2,8,Round,2.0*2.0,1,Round,2.1*2.1,4,,,,,,,,,,,,,,,,2,,,,,,,,,,Mặt dây chuyền MDA8145,0,0,Sản Phẩm Lẻ,,," 20,680,000 "," 19,540,000 "," 21,560,000 "," 7,250,000 "," 6,110,000 "," 8,130,000 ", - , - ,,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM , Class C , Active , -   , - 
300,BMD8147,Rosie Heart,Mặt dây chuyền, , , ,   , 2.06 , 1.92 ,   , 1.53 , Pattern , -   ,   , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,Không,Kết cấu đặc biệt,Mặt dây chuyền Rosie Heart BMD8147,0,0,The Hearts,,," 11,050,000 "," 8,270,000 ", - ," 11,050,000 "," 8,270,000 ", - , - ," 5,100,000 ",,Custom,All, Yes , Yes , Yes , Trắng-Hồng , No , PREMIUM SMART , Class A , Active , -   , - 
301,BMD8148,Heart Of Venus,Mặt dây chuyền, , , ,   , 1.25 , 1.15 ,   , 1.08 , Plain , 0.03 ,   ,Round,1.4*1.4,1,Round,1.2*1.2,2,Round,1.3*1.3,1, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,Không,Kết cấu đặc biệt,Mặt dây chuyền Heart Of Venus BMD8148,0,0,The Hearts,,," 8,740,000 "," 6,990,000 ", - ," 7,280,000 "," 5,530,000 ", - , - ," 4,080,000 ",,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM SMART , Class C , Active , -   , - 
302,BMD8149,Tender Heart,Mặt dây chuyền, , , ,   , 1.08 , 1.00 ,   , 0.93 , Plain , 0.12 ,   ,Round,3.0*3.0,1,Round,1.1*1.1,2,Round,1.5*1.5,1, , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,Không,Kết cấu đặc biệt,Mặt dây chuyền Tender Heart BMD8149,0,0,The Hearts,,," 12,250,000 "," 10,760,000 ", - ," 6,480,000 "," 5,000,000 ", - , - ," 3,710,000 ",,Custom,All, Yes , Yes , Yes , Trắng , Yes , PREMIUM SMART , Class A , Active , -   , - 
303,MDA8150,Dazzling Heart,Mặt dây chuyền, , ,Heart, 5.0*5.0 , 2.74 , 2.56 ,   ,, Plain , -   ,   , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,Không,Kết cấu đặc biệt,Mặt dây chuyền Dazzling Heart MDA8150,0,0,The Hearts,,," 13,100,000 "," 9,810,000 ", - ," 13,100,000 "," 9,810,000 ", - , - , - ,,Custom,All, Yes , Yes , Yes , Hồng , No , PREMIUM , Class C , Active , -   , - 
304,BMD8151,Adorable Heart,Mặt dây chuyền, , , ,   , 1.23 , 1.13 ,   , 0.90 , Plain , 0.00 ,   ,Round,0.8*0.8,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,Không,Kết cấu đặc biệt,Mặt dây chuyền Adorable Heart BMD8151,0,0,The Hearts,,," 7,430,000 "," 5,710,000 ", - ," 7,060,000 "," 5,340,000 ", - , - ," 3,470,000 ",,Custom,All, Yes , Yes , Yes , Hồng , Yes , PREMIUM SMART , Class A , Active , -   , - 
305,NCC0001,,Nhẫn cưới,,M.18-F.8.5,,   ,   ,   ,   ,, Plain ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhẫn cưới NCC0001,0,0,Tierra Base Products,,," 97,540,000 "," 82,830,000 "," 95,060,000 "," 62,480,000 "," 47,760,000 "," 59,990,000 ", - , - ,,Eternity,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , -   , Active , -   , -   
306,NCC0002,,Nhẫn cưới,,M.15-F.08,,   ,   ,   ,   ,, Pattern ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhẫn cưới NCC0002,0,0,Tierra Base Products,,," 58,190,000 "," 48,230,000 "," 57,440,000 "," 47,010,000 "," 37,050,000 "," 46,250,000 ", - , - ,,Eternity,, Yes , Yes , Yes , Trắng , Yes , PREMIUM , -   , Active , -   , -   
